Name,student_id,gender,program,gpa,previous_results,course_information,module_credits,ca_weight,final_exam_weight,ca_marks,final_exam_marks,total_marks,final_grade,lecture_attendance,attendance_percentage,assignment_marks,exam_results,quiz_scores,submission_status,login_frequency,time_spent_lms,resources_accessed,forum_chat_activity,course_start_date,click_count,assessment_date,assessment_type,assessment_score,assessment_max_score,Predicted_Risk_Level,Learning_Style,assignment_due_date,assignment_submission_date,sessions_attended,total_sessions_held,click_timestamp,module_id,pass_fail_status,assignment_max_marks,Non_Engaged_Modules
Harsha Gunawardena,ST1001,Male,IT,3.64,Average,Software Engineering,3,30,70,28.2,44.2,72.4,A-,28,94.1,28.2,63.1,64,On-time,6,51,32,1,23/03/2025 0:00,436,29/05/2025 0:00,Presentation,18,30,Low Risk,Moderate Learner,3/05/2025 0:00,5/05/2025 0:00,21,30,29/05/2025 11:11,MOD-IN2201,Pass,30,General
Ishwarya Weerasinghe,ST1002,Female,IT,2.26,Average,Software Engineering,3,30,70,21.9,34.3,56.2,B-,15,48.5,21.9,49.0,57,Late,21,77,27,0,5/03/2025 0:00,98,8/03/2025 0:00,Lab,37,50,Medium Risk,At-Risk Learner,12/04/2025 0:00,13/04/2025 0:00,29,30,8/03/2025 22:33,MOD-IN2201,Pass,30,Software Testing
Methuli Siriwardana,ST1003,Female,ITM,2.43,Good,Software Engineering,3,30,70,7.6,47.3,54.9,C+,8,26.5,7.6,67.6,53,Late,7,78,34,0,6/02/2025 0:00,360,12/05/2025 0:00,Assignment,7,50,High Risk,At-Risk Learner,12/04/2025 0:00,10/04/2025 0:00,6,25,12/05/2025 18:09,MOD-IN2201,Pass,30,"Agile & Scrum, Requirements Engineering"
Janaka Wickramasinghe,ST1004,Male,IT,3.0,Good,Software Engineering,3,30,70,6.4,47.5,53.9,C+,12,40.4,6.4,67.9,94,On-time,16,90,42,13,23/03/2025 0:00,201,20/06/2025 0:00,Quiz,14,20,Medium Risk,Highly Engaged,9/04/2025 0:00,6/04/2025 0:00,27,27,20/06/2025 21:04,MOD-IN2201,Pass,30,
Ranga Herath,ST1005,Male,ITM,2.61,Weak,Software Engineering,3,30,70,9.4,47.7,57.1,B-,10,32.3,9.4,68.2,73,Late,6,60,26,9,15/04/2025 0:00,364,20/04/2025 0:00,Presentation,14,20,Medium Risk,At-Risk Learner,17/06/2025 0:00,15/06/2025 0:00,10,27,20/04/2025 8:36,MOD-IN2201,Pass,30,"Agile & Scrum, Requirements Engineering"
Bandara Fonseka,ST1006,Male,IT,3.65,Average,Software Engineering,3,30,70,23.9,65.9,89.8,A+,21,68.7,23.9,94.2,85,Late,8,24,26,1,27/02/2025 0:00,475,11/03/2025 0:00,Presentation,27,50,Low Risk,Passive Learner,14/05/2025 0:00,15/05/2025 0:00,8,26,11/03/2025 11:46,MOD-IN2201,Pass,30,"Requirements Engineering, UI/UX Design"
Ranga Jayaweera,ST1007,Male,IT,1.92,Average,Software Engineering,3,30,70,13.5,33.2,46.7,C,14,45.9,13.5,47.5,26,On-time,24,84,42,11,6/04/2025 0:00,453,23/04/2025 0:00,Quiz,64,100,High Risk,Highly Engaged,26/05/2025 0:00,28/05/2025 0:00,18,27,23/04/2025 18:46,MOD-IN2201,Pass,30,
Methuli Yapa,ST1008,Female,IT,2.01,Good,Software Engineering,3,30,70,7.8,9.4,17.2,F,13,42.2,7.8,13.5,90,Late,19,35,35,2,15/01/2025 0:00,412,25/03/2025 0:00,Midterm,30,50,High Risk,At-Risk Learner,20/03/2025 0:00,25/03/2025 0:00,11,30,25/03/2025 15:41,MOD-IN2201,Fail,30,Software Engineering Methods
Kavya Munasinghe,ST1009,Female,IT,2.88,Average,Software Engineering,3,30,70,9.8,41.3,51.1,C+,6,20.8,9.8,59.0,44,Late,21,97,24,4,15/04/2025 0:00,268,18/05/2025 0:00,Assignment,21,30,Medium Risk,At-Risk Learner,10/06/2025 0:00,8/06/2025 0:00,27,27,18/05/2025 13:14,MOD-IN2201,Pass,30,Software Measurement
Lakmini Munasinghe,ST1010,Female,IT,3.72,Average,Software Engineering,3,30,70,21.6,29.6,51.2,C+,8,28.2,21.6,42.3,35,On-time,25,43,33,5,5/03/2025 0:00,232,14/06/2025 0:00,Presentation,19,30,Medium Risk,At-Risk Learner,17/04/2025 0:00,21/04/2025 0:00,9,26,14/06/2025 15:56,MOD-IN2201,Pass,30,Software Maintenance & Evolution
Ishan Fonseka,ST1011,Male,ITM,2.39,Average,Software Engineering,3,30,70,8.7,47.6,56.3,B-,20,67.6,8.7,68.0,87,On-time,23,39,24,10,6/04/2025 0:00,408,7/05/2025 0:00,Presentation,9,30,Medium Risk,Highly Engaged,15/07/2025 0:00,12/07/2025 0:00,24,30,7/05/2025 8:08,MOD-IN2201,Pass,30,UI/UX Design
Madhawa Sivarajah,ST1012,Male,IT,1.89,Average,Software Engineering,3,30,70,11.2,43.6,54.8,C+,29,95.7,11.2,62.3,86,Late,25,94,24,9,6/02/2025 0:00,83,18/05/2025 0:00,Midterm,15,50,Medium Risk,Highly Engaged,17/05/2025 0:00,16/05/2025 0:00,27,27,18/05/2025 17:52,MOD-IN2201,Pass,30,UI/UX Design
Udani Gunawardena,ST1013,Female,IT,1.92,Average,Software Engineering,3,30,70,27.5,43.3,70.8,A-,6,21.3,27.5,61.8,94,On-time,6,87,30,5,15/01/2025 0:00,283,30/04/2025 0:00,Practical,71,100,Medium Risk,Passive Learner,12/03/2025 0:00,17/03/2025 0:00,17,27,30/04/2025 8:57,MOD-IN2201,Pass,30,Software Development Models
Vimukthi Udagedara,ST1014,Male,IT,2.72,Weak,Software Engineering,3,30,70,9.2,36.1,45.3,C,24,80.7,9.2,51.6,55,Late,20,99,11,3,23/03/2025 0:00,257,23/03/2025 0:00,Midterm,5,20,Medium Risk,Highly Engaged,12/05/2025 0:00,12/05/2025 0:00,16,26,23/03/2025 19:47,MOD-IN2201,Pass,30,UI/UX Design
Hansika Pathirana,ST1015,Female,ITM,2.01,Average,Software Engineering,3,30,70,15.5,20.2,35.7,F,12,40.6,15.5,28.9,87,On-time,20,56,12,8,23/03/2025 0:00,388,10/07/2025 0:00,Assignment,19,30,Medium Risk,Highly Engaged,6/05/2025 0:00,5/05/2025 0:00,26,26,10/07/2025 21:42,MOD-IN2201,Fail,30,Requirements Engineering
Lasith Subasinghe,ST1016,Male,ITM,2.66,Average,Software Engineering,3,30,70,8.2,16.9,25.1,F,23,75.1,8.2,24.1,81,On-time,7,59,23,0,23/03/2025 0:00,451,9/06/2025 0:00,Quiz,10,20,Medium Risk,Moderate Learner,1/04/2025 0:00,4/04/2025 0:00,24,28,9/06/2025 18:33,MOD-IN2201,Fail,30,General
Nadeesha Perera,ST1017,Female,IT,3.65,Weak,Software Engineering,3,30,70,11.7,8.4,20.1,F,11,35.4,11.7,12.0,46,On-time,21,31,19,1,6/04/2025 0:00,224,11/06/2025 0:00,Midterm,14,20,Medium Risk,At-Risk Learner,27/05/2025 0:00,27/05/2025 0:00,27,30,11/06/2025 8:47,MOD-IN2201,Fail,30,Software Development Models
Chathuni Dissanayake,ST1018,Female,ITM,2.27,Excellent,Software Engineering,3,30,70,7.7,25.5,33.2,F,16,51.9,7.7,36.4,40,Late,10,32,31,3,6/04/2025 0:00,326,13/07/2025 0:00,Quiz,92,100,High Risk,At-Risk Learner,3/06/2025 0:00,7/06/2025 0:00,18,30,13/07/2025 11:48,MOD-IN2201,Fail,30,"Requirements Engineering, UI/UX Design"
Gihan Jeyarajah,ST1019,Male,IT,2.34,Average,Software Engineering,3,30,70,25.8,22.8,48.6,C,11,37.4,25.8,32.6,37,On-time,12,62,20,0,6/02/2025 0:00,398,5/03/2025 0:00,Quiz,20,30,High Risk,At-Risk Learner,4/04/2025 0:00,6/04/2025 0:00,26,26,5/03/2025 22:36,MOD-IN2201,Pass,30,Software Engineering Methods
Nimal Wickramasinghe,ST1020,Male,ITM,2.23,Average,Software Engineering,3,30,70,6.2,58.2,64.4,B,21,68.9,6.2,83.1,31,Late,5,25,15,15,23/03/2025 0:00,354,15/04/2025 0:00,Final Exam,33,100,Medium Risk,Passive Learner,30/06/2025 0:00,4/07/2025 0:00,28,30,15/04/2025 20:58,MOD-IN2201,Pass,30,"General, Software Engineering Methods"
Balaji Udagedara,ST1021,Male,IT,3.54,Good,Software Engineering,3,30,70,18.3,26.7,45.0,C,18,59.7,18.3,38.2,27,On-time,23,32,41,3,15/01/2025 0:00,397,7/02/2025 0:00,Quiz,83,100,Medium Risk,Moderate Learner,27/02/2025 0:00,28/02/2025 0:00,14,27,7/02/2025 16:16,MOD-IN2201,Pass,30,Software Engineering Methods
Hirantha Thilakarathne,ST1022,Male,ITM,2.24,Good,Software Engineering,3,30,70,22.3,55.7,78.0,A,26,87.5,22.3,79.6,60,Late,16,33,26,4,5/03/2025 0:00,334,23/03/2025 0:00,Assignment,10,20,Medium Risk,Moderate Learner,13/06/2025 0:00,13/06/2025 0:00,17,28,23/03/2025 20:47,MOD-IN2201,Pass,30,"Software Measurement, General"
Ruchira Udagedara,ST1023,Male,IT,2.95,Average,Software Engineering,3,30,70,11.1,23.2,34.3,F,12,39.8,11.1,33.1,38,On-time,14,22,29,5,23/03/2025 0:00,70,25/03/2025 0:00,Quiz,23,30,High Risk,At-Risk Learner,26/05/2025 0:00,28/05/2025 0:00,22,30,25/03/2025 14:07,MOD-IN2201,Fail,30,"Software Measurement, General"
Ranga Weerasinghe,ST1024,Male,ITM,2.49,Good,Software Engineering,3,30,70,28.8,58.9,87.7,A+,17,55.3,28.8,84.1,69,On-time,14,88,15,14,23/03/2025 0:00,363,12/04/2025 0:00,Quiz,50,50,Low Risk,Highly Engaged,10/05/2025 0:00,8/05/2025 0:00,12,30,12/04/2025 13:14,MOD-IN2201,Pass,30,Software Maintenance & Evolution
Vishaka Herath,ST1025,Female,ITM,3.5,Weak,Software Engineering,3,30,70,23.3,46.8,70.1,A-,18,61.2,23.3,66.9,36,On-time,15,31,23,0,15/01/2025 0:00,104,18/01/2025 0:00,Presentation,8,20,Medium Risk,Passive Learner,15/03/2025 0:00,12/03/2025 0:00,12,30,18/01/2025 20:25,MOD-IN2201,Pass,30,"Agile & Scrum, Requirements Engineering"
Kasun Fonseka,ST1026,Male,IT,3.83,Average,Software Engineering,3,30,70,6.8,29.1,35.9,F,23,78.3,6.8,41.6,67,Late,22,26,29,5,23/03/2025 0:00,54,14/04/2025 0:00,Final Exam,72,100,Medium Risk,Passive Learner,18/05/2025 0:00,23/05/2025 0:00,24,30,14/04/2025 17:38,MOD-IN2201,Fail,30,"Software Engineering Methods, Software Development Models"
Chathuni Nanayakkara,ST1027,Female,ITM,2.96,Weak,Software Engineering,3,30,70,25.4,57.7,83.1,A,15,48.9,25.4,82.4,70,On-time,6,48,18,0,15/01/2025 0:00,307,22/02/2025 0:00,Final Exam,43,50,Medium Risk,Passive Learner,11/04/2025 0:00,15/04/2025 0:00,11,25,22/02/2025 8:49,MOD-IN2201,Pass,30,"Managing Software Projects, Software Maintenance & Evolution"
Pavithra Kumara,ST1028,Female,ITM,3.72,Good,Software Engineering,3,30,70,20.9,38.4,59.3,B-,23,76.5,20.9,54.9,60,On-time,14,38,31,2,15/04/2025 0:00,256,22/05/2025 0:00,Final Exam,39,100,Medium Risk,Passive Learner,29/04/2025 0:00,28/04/2025 0:00,26,30,22/05/2025 9:40,MOD-IN2201,Pass,30,Requirements Engineering
Pavithra Liyanage,ST1029,Female,IT,1.81,Average,Software Engineering,3,30,70,6.2,13.6,19.8,F,10,34.7,6.2,19.5,27,On-time,11,44,23,14,27/02/2025 0:00,412,9/03/2025 0:00,Practical,13,20,High Risk,At-Risk Learner,23/04/2025 0:00,25/04/2025 0:00,28,28,9/03/2025 21:48,MOD-IN2201,Fail,30,Software Testing
Kehan Nanayakkara,ST1030,Male,IT,2.17,Weak,Software Engineering,3,30,70,23.6,10.4,34.0,F,15,50.1,23.6,14.8,84,Late,5,41,25,14,6/04/2025 0:00,166,2/07/2025 0:00,Quiz,8,20,High Risk,At-Risk Learner,6/05/2025 0:00,9/05/2025 0:00,12,28,2/07/2025 12:59,MOD-IN2201,Fail,30,"Software Measurement, General"
Pavithra Pathirana,ST1031,Female,IT,3.73,Weak,Software Engineering,3,30,70,8.8,54.2,63.0,B,9,28.9,8.8,77.5,27,Late,12,11,23,8,27/02/2025 0:00,339,19/03/2025 0:00,Midterm,45,50,Medium Risk,Passive Learner,28/05/2025 0:00,28/05/2025 0:00,5,25,19/03/2025 15:05,MOD-IN2201,Pass,30,"Requirements Engineering, UI/UX Design"
